"wifiradar","device","signal","timestamp","networks"
"C0A0BBED842E","12F002DD19",-68,"2015-03-09 15:54:36","Alice-56283694"
"C0A0BBED842E","A87B3911A50C",-63,"2015-03-09 15:53:09","Alice-85872405"
"C0A0BBED842E","A87B3911A50C",-59,"2015-03-09 15:53:07","Alice-85872405"
"C0A0BBED842E","38AA3CE3D699",-40,"2015-03-09 15:52:53","retailerin"
"C0A0BBED842E","446D6C3C5138",-60,"2015-03-09 15:49:36","CPNtw"
"C0A0BBED842E","446D6C3C5138",-59,"2015-03-09 15:48:23","CPNtw"
"C0A0BBED842E","38AA3CE3D699",-33,"2015-03-09 15:48:02","retailerin"
"C0A0BBED842E","12F002DD19",-63,"2015-03-09 15:47:59","Alice-56283694"
"C0A0BBED842E","446D6C3C5138",-63,"2015-03-09 15:46:15","CPNtw"
"C0A0BBED842E","446D6C3C5138",-62,"2015-03-09 15:43:15","CPNtw"
"C0A0BBED842E","E063E58336AA",-65,"2015-03-09 15:40:27","InfostradaWiFi-54a92c"
"C0A0BBED842E","E063E58336AA",-63,"2015-03-09 15:40:25","InfostradaWiFi-54a92c"
"C0A0BBED842E","E063E58336AA",-61,"2015-03-09 15:39:43","InfostradaWiFi-54a92c"
"C0A0BBED842E","E8CD2D044226",-64,"2015-03-09 15:39:43","InfostradaWiFi-6B5424"
"C0A0BBED842E","446D6C3C5138",-54,"2015-03-09 15:39:21","CPNtw"
"C0A0BBED842E","446D6C3C5138",-60,"2015-03-09 15:38:50","CPNtw"
"C0A0BBED842E","38AA3CE3D699",-35,"2015-03-09 15:34:05","retailerin"
"C0A0BBED842E","44D8840376BA",-53,"2015-03-09 15:30:09","STELLA"
"C0A0BBED842E","3451C9E49483",-72,"2015-03-09 15:29:51","FASTWEB-1-n3JCQQkJEYMY"
"C0A0BBED842E","3451C9E49483",-68,"2015-03-09 15:26:00","FASTWEB-1-n3JCQQkJEYMY"
"C0A0BBED842E","38AA3CE3D699",-235,"2015-03-09 15:24:21","retailerin"
"C0A0BBED842E","806C1B1521C0",-64,"2015-03-09 15:21:59","WebPocket42-b55a"
"C0A0BBED842E","68967B1DBB66",-69,"2015-03-09 15:20:50","FASTWEB-1-n3JCQQkJEYMY"
"C0A0BBED842E","D48F33C3CEA0",-64,"2015-03-09 15:17:57","Wireless"
"C0A0BBED842E","58A2B5CFF7E7",-61,"2015-03-09 15:17:45","u-hopper-cisco"
"C0A0BBED842E","12F002DD19",-63,"2015-03-09 15:17:32","Alice-56283694"
"C0A0BBED842E","446D6C3C5138",-55,"2015-03-09 15:12:30","CPNtw"
"C0A0BBED842E","38AA3CE3D699",-42,"2015-03-09 15:10:09","retailerin"
"C0A0BBED842E","3451C9E49483",-73,"2015-03-09 15:08:48","FASTWEB-1-n3JCQQkJEYMY"
"C0A0BBED842E","446D6C3C5138",-51,"2015-03-09 15:06:58","CPNtw"
"C0A0BBED842E","446D6C3C5138",-56,"2015-03-09 15:05:54","CPNtw"
"C0A0BBED842E","38AA3CE3D699",-31,"2015-03-09 15:05:33","retailerin"
"C0A0BBED842E","446D6C3C5138",-57,"2015-03-09 15:03:53","CPNtw"
"C0A0BBED842E","3451C9E49483",-67,"2015-03-09 15:03:46","FASTWEB-1-n3JCQQkJEYMY"
"C0A0BBED842E","446D6C3C5138",-50,"2015-03-09 15:02:59","CPNtw"
"C0A0BBED842E","68A86D47F406",-36,"2015-03-09 15:02:22","u-hopper-cisco"
"C0A0BBED842E","446D6C3C5138",-55,"2015-03-09 15:01:58","CPNtw"
"C0A0BBED842E","68A86D47F406",-40,"2015-03-09 15:00:53","u-hopper-cisco"
"C0A0BBED842E","38AA3CE3D699",-53,"2015-03-09 15:00:41","retailerin"
"C0A0BBED842E","E063E58336AA",-69,"2015-03-09 14:59:51","InfostradaWiFi-54a92c"
"C0A0BBED842E","446D6C3C5138",-53,"2015-03-09 14:59:39","CPNtw"
"C0A0BBED842E","25D3E11750",-59,"2015-03-09 14:57:43","Alice-56283694"
"C0A0BBED842E","25D3E11750",-56,"2015-03-09 14:56:35","Alice-56283694"
"C0A0BBED842E","38AA3CE3D699",-39,"2015-03-09 14:55:49","retailerin"
"C0A0BBED842E","446D6C3C5138",-63,"2015-03-09 14:54:32","CPNtw"
"C0A0BBED842E","446D6C3C5138",-63,"2015-03-09 14:53:31","CPNtw"
"C0A0BBED842E","446D6C3C5138",-55,"2015-03-09 14:51:33","CPNtw"
"C0A0BBED842E","446D6C3C5138",-60,"2015-03-09 14:50:55","CPNtw"
"C0A0BBED842E","25D3E11750",-63,"2015-03-09 14:47:34","Alice-56283694"
"C0A0BBED842E","25D3E11750",-58,"2015-03-09 14:46:31","Alice-56283694"
"C0A0BBED842E","25D3E11750",-62,"2015-03-09 14:46:22","Alice-56283694"
"C0A0BBED842E","25D3E11750",-58,"2015-03-09 14:45:19","Alice-56283694"
"C0A0BBED842E","E8CD2D044226",-59,"2015-03-09 14:45:13","VodafoneWiFi"
"C0A0BBED842E","25D3E11750",-53,"2015-03-09 14:44:09","Alice-56283694"
"C0A0BBED842E","25D3E11750",-61,"2015-03-09 14:43:04","Alice-56283694"
"C0A0BBED842E","38AA3CE3D699",-47,"2015-03-09 14:41:28","retailerin"
"C0A0BBED842E","38AA3CE3D699",-39,"2015-03-09 14:41:27","retailerin"
"C0A0BBED842E","25D3E11750",-58,"2015-03-09 14:40:16","Alice-56283694"
"C0A0BBED842E","25D3E11750",-63,"2015-03-09 14:38:56","Alice-56283694"
"C0A0BBED842E","25D3E11750",-78,"2015-03-09 14:37:24","Alice-56283694"
"C0A0BBED842E","25D3E11750",-73,"2015-03-09 14:37:16","Alice-56283694"
"C0A0BBED842E","38AA3CE3D699",-32,"2015-03-09 14:27:15","retailerin"
"C0A0BBED842E","25D3E11750",-78,"2015-03-09 14:25:55","Alice-56283694"
"C0A0BBED842E","25D3E11750",-73,"2015-03-09 14:25:51","Alice-56283694"
"C0A0BBED842E","38AA3CE3D699",-39,"2015-03-09 14:22:56","retailerin"
"C0A0BBED842E","881FA11B7C86",-35,"2015-03-09 14:22:42","u-hopper-cisco"
"C0A0BBED842E","881FA11B7C86",-32,"2015-03-09 14:22:41","u-hopper-cisco"
"C0A0BBED842E","25D3E11750",-55,"2015-03-09 14:21:00","Alice-56283694"
"C0A0BBED842E","25D3E11750",-49,"2015-03-09 14:20:41","Alice-56283694"
"C0A0BBED842E","25D3E11750",-53,"2015-03-09 14:20:35","Alice-56283694"
"C0A0BBED842E","25D3E11750",-48,"2015-03-09 14:19:26","Alice-56283694"
"C0A0BBED842E","25D3E11750",-79,"2015-03-09 14:18:11","Alice-56283694"
"C0A0BBED842E","25D3E11750",-58,"2015-03-05 14:32:53","Alice-56283694"
